"PeakID"	"Title"	"Scans"	"RT.left.min."	"RT..min."	"RT.right..min."	"Precursor.m.z"	"Height"	"Area"	"Model.masses"	"Adduct"	"Isotope"	"Comment"	"Reference.RT"	"Reference.m.z"	"Formula"	"Ontology"	"InChIKey"	"SMILES"	"Annotation.tag..VS1.0."	"RT.matched"	"m.z.matched"	"MS.MS.matched"	"RT.similarity"	"Dot.product"	"Reverse.dot.product"	"Fragment.presence.."	"Total.score"	"S.N"	"MS1.isotopes"	"MSMS.spectrum"
3418	"Hypoxanthine"	610	1.600397	1.917184	2.067835	135.0301	20257194	225993312	"null"	"[M-H]-"	"M + 0"	"found in higher mz's MsMs_3487"	"1.925"	"135.03011"	"C5H4N4O"	""	""	""	520	"True"	"True"	"False"	"100"	"null"	"null"	"null"	"100"	151.4935	"135.02748:50390 135.0301:11453895 135.03288:72526 135.03436:21649 135.05518:68423 135.94409:289338 136.02722:91708 136.03338:436895 137.02319:34756 137.03099:48421 137.03461:19200748 137.03727:141877 137.93958:102766 138.03134:60679 138.03786:737607 139.03879:56591 139.97442:62299"	""
3518	"Deoxycytidine"	628	1.600397	1.967642	2.9671	226.083	118991520	1423002368	"null"	"[M-H]-"	"M + 0"	"found in higher mz's MsMs_3533; found in higher mz's MsMs_3521"	"1.993"	"226.0826"	"C9H13N3O4"	""	""	""	330	"True"	"True"	"True"	"100"	"95.5"	"93.7"	"87.5"	"96.7"	9933.924	"226.03344:24427 226.06407:31194 226.06729:30021 226.07374:50233 226.07696:329998 226.083:52716092 226.0951:40547 226.13138:23252 226.19429:20739 227.08036:396719 227.0863:4822384 227.2012:22998 228.08695:308995 228.99008:103479 229.07076:28454 230.98533:66529"	"66.03349:85097 67.02866:29212 93.0151:8791 93.03212:23018 93.04406:3250123 93.05681:26541 94.04727:13546 110.03515:1256227 112.05056:30078 135.05553:434869 136.05092:92689 183.07618:76780 226.08378:408672"
3741	"Xanthine"	664	1.469204	2.067835	2.402318	151.0251	120523368	1420129280	"null"	"[M-H]-"	"M + 0"	"found in higher mz's MsMs_3795; found in higher mz's MsMs_3753; found in higher mz's MsMs_3780; found in higher mz's MsMs_3721"	"2.062"	"151.0251"	"C5H4N4O2"	""	""	""	330	"True"	"True"	"True"	"100"	"87.9"	"87.9"	"100"	"95"	3404.407	"150.96503:39266 151.00396:16323 151.00594:31896 151.011:19439 151.01386:23343 151.01827:36990 151.02509:54116160 151.02839:343215 151.03015:121966 151.03301:37034 151.03455:22615 151.03851:50282 151.04335:32479 151.04511:19984 151.0471:18967 151.04974:20580 152.0222:495600 152.02846:2935775 152.03358:18368 153.02528:19883 153.02932:111538 153.03179:35997 154.08588:28294 154.998:59003 155.0087:1545913 155.03411:32923 155.04464:21392 155.10692:26159 156.01165:56198"	"65.99683:5835 71.01209:7491 89.0231:6335 107.04922:28378 108.01917:1493897 109.02286:11672 126.02902:93489 133.01417:26322 136.01514:39270 150.96457:6335 151.02444:7324102 151.05081:51020 152.02826:58906"
3775	"L-Leucine or L-Isoleucine???"	670	1.735161	2.084839	3.033628	130.0863	683272192	12993727488	"null"	"[M-H]-"	"M + 0"	""	"2.1"	"130.08611"	"C6H13NO2"	""	""	""	330	"True"	"True"	"True"	"100"	"75"	"75"	"100"	"89.6"	17402.46	"129.89371:23980 129.90003:21973 129.92531:20046 129.99698:23276 130.03723:39993 130.03864:52052 130.0455:17562 130.05464:24469 130.06449:88552 130.0659:32772 130.07045:63226 130.07293:27954 130.07645:42428 130.07803:39173 130.08014:67266 130.08226:102197 130.08366:983603 130.0863:137690560 130.08876:694861 130.09527:65405 130.10161:64923 130.10601:24949 130.10741:59778 130.10865:45427 130.11709:25476 130.12009:21319 130.1222:18641 130.12994:15951 130.13474:102783 130.17642:19044 130.19403:16989 130.28003:21037 130.92987:24895 131.00949:15903 131.03367:44445 131.06996:18187 131.08332:276643 131.08686:59134 131.08953:8899615 131.09202:143586 132.02901:3734359 132.08641:20777 132.0903:430932 132.09264:159098 133.013:40552 133.03254:75635 133.08561:27187 133.99058:67981 134.04615:474764 134.89363:33278 135.02878:262616 135.03008:752098 135.04404:41488 135.0552:23297"	"59.0046:268160 81.78092:256084 99.72786:346855 116.85661:276986 130.08617:76442304 131.08974:1101956 132.99375:275787"
3865	"Inosine"	682	1.817633	2.118708	2.585088	267.0736	38620260	469649888	"null"	"[M-H]-"	"M + 0"	""	"2.13"	"267.07321"	"C10H12N4O5"	""	""	""	330	"True"	"True"	"True"	"100"	"96.7"	"96.7"	"100"	"98.6"	1356.725	"267.06593:101953 267.07367:15972130 267.08094:103048 267.08612:126670 267.09268:945921 268.07121:155231 268.0767:1279391 268.09038:18330 268.09351:77419 269.07363:25925 269.07782:111852 270.03704:39622 270.07282:19799"	"59.01233:37633 66.77308:27592 108.01919:30457 133.01411:56942 134.01798:40644 135.0301:1438429 150.04142:2737603 151.04496:2271036 176.05699:149834 177.06129:365065 249.08358:38437 267.0954:10065476 267.15226:58760"
4107	"Cytosine"	718	2.118708	2.21923	2.453026	110.0347	14998626	172283312	"null"	"[M-H]-"	"M + 0"	""	"2.232"	"110.0347"	"C4H5N3O"	""	""	""	330	"True"	"True"	"True"	"100"	"86.2"	"81.9"	"50"	"89.4"	789.5662	"110.03279:38085 110.0347:6525600 110.03676:35768 111.00744:225266 111.01885:290925 111.0381:115935 111.04406:46600 112.05039:546621 112.98448:246618 113.02307:52990 113.03434:702505 113.05955:31237 114.01848:100104 114.93513:67519 115.00237:65589"	"52.05292:5875 66.03349:5678 67.02854:678607 88.29228:5465 97.93301:5495 104.92559:5647 109.93997:9123 110.02311:15150 110.03515:611329 111.00721:8013 111.0183:5979"
4121	"Deoxyguanosine"	718	1.900026	2.21923	2.999556	266.0895	176204320	2260258304	"null"	"[M-H]-"	"M + 0"	"found in higher mz's MsMs_4129"	"2.232"	"266.08951"	"C10H13N5O4"	""	""	""	330	"True"	"True"	"True"	"100"	"88"	"88"	"100"	"95"	46400.97	"265.94962:27546 266.07359:56911 266.07771:94131 266.08955:68079080 266.09727:329884 266.10344:87553 266.15131:31026 266.23113:37324 267.07359:1444048 267.08717:750483 267.09292:7213918 268.07669:145401 268.08934:63774 268.09351:287432 269.01398:34294 269.09718:34214"	"52.75857:70958 59.01233:202037 59.34179:81843 59.75719:71428 66.52225:144571 90.3785:87396 98.92876:74329 101.75237:78895 104.78198:69036 107.03455:117866 108.01919:180283 133.00538:100237 133.01353:546271 148.18156:69419 150.04164:27634560 176.05716:2914961 196.81924:85150 206.66569:87353 248.07984:131564 266.09101:53813880 266.14862:470660 267.09428:127387"
4168	"Xanthosine"	724	1.867028	2.23594	2.402318	283.0683	41374252	593423104	"null"	"[M-H]-"	"M + 0"	"found in higher mz's MsMs_4138; found in higher mz's MsMs_4085"	"2.232"	"283.06821"	"C10H12N4O6"	""	""	""	330	"True"	"True"	"True"	"100"	"93.6"	"93.6"	"100"	"97.3"	2340.28	"283.06826:14107782 283.07771:2460915 283.0914:41794 283.26427:134402 284.06574:122492 284.07143:1168174 284.08147:183345 285.06693:70755 285.07273:108273 285.083:22003 287.05418:106666 287.06339:27937"	"52.2519:20292 61.98675:2841440 61.99358:24667 63.41153:20555 68.40958:20634 70.76696:24334 108.01919:24275 115.71474:18460 118.89715:21489 127.0498:61114 150.99979:94000 151.02449:13214063 151.05084:101374 247.0932:26921 279.47018:22573 280.20728:21091 283.06762:6877768 283.26182:340121"
4226	"L-Methionine"	736	1.933278	2.269813	3.033628	148.0428	332014528	4873073664	"null"	"[M-H]-"	"M + 0"	"found in higher mz's MsMs_4241"	"2.284"	"148.0426"	"C5H11NO2S"	""	""	""	520	"True"	"True"	"False"	"100"	"null"	"null"	"null"	"100"	15619.52	"147.98397:73035 148.01636:55547 148.02063:23844 148.02426:28677 148.03088:24626 148.03259:34462 148.0343:105514 148.03878:268180 148.03964:851937 148.04282:101372600 148.04583:437971 148.04946:55810 148.05202:56736 148.05715:22696 148.05993:31582 148.06185:36100 148.0674:21757 148.10074:54604 148.10244:30918 149.01639:20786 149.03968:212211 149.04206:444839 149.04593:5352622 149.04853:87927 149.99328:81219 150.0353:39868 150.03856:4484046 150.04685:305128 150.04925:67009 151.0251:658682 151.03916:58337 151.04177:165935 152.02824:24810 152.03447:29635 152.05692:21857"	"66.43178:232548 100.03939:821913 114.0874:172787 133.46783:171107 148.04349:1396254"
4482	"N-Acetyl-D-Glucosamine"	772	2.118708	2.368921	2.950035	220.0822	1666481.875	30712198	"null"	"[M-H]-"	"M + 0"	"found in higher mz's MsMs_4496"	"2.38"	"220.08211"	"C8H15NO6"	""	""	""	330	"True"	"True"	"True"	"100"	"97"	"91.6"	"48.1"	"93.5"	72.52098	"220.08215:443199 220.9376:61847 223.04849:100294 225.06354:84577"	"59.01247:201490 71.01225:42893 72.99154:4383 83.01249:9441 88.03864:8778 89.02324:56234 99.00722:4507 100.03949:107514 101.02332:133473 118.04951:6934 119.03388:76452 140.03356:4842 142.04972:6615 220.14819:35325 220.17857:73211"
4577	"L-Tryptophan"	784	2.067835	2.402318	3.033628	203.0819	301044992	4629180416	"null"	"[M-H]-"	"M + 0"	"found in higher mz's MsMs_4594; found in higher mz's MsMs_4496; found in higher mz's MsMs_4646"	"2.434"	"203.08189"	"C11H12N2O2"	""	""	""	330	"True"	"True"	"True"	"100"	"99.2"	"99.9"	"100"	"99.8"	2498.208	"202.98653:26216 202.98893:41636 202.99681:44866 203.03851:360122 203.05856:37660 203.0685:50041 203.07159:74354 203.07399:143279 203.07708:772588 203.08189:88403896 203.08703:456387 203.0915:125396 203.0939:65696 203.10248:22859 203.11209:26960 203.17663:50971 204.03917:83729 204.07876:400449 204.08517:10815014 205.08231:56390 205.08614:226919 205.08858:382780 206.08139:724559 207.08484:101430"	"68.88054:171438 72.00785:6684835 74.02329:8106342 116.04954:28642174 117.05335:447400 129.05787:573932 130.06504:716212 132.08049:274729 141.19285:166263 142.01439:222574 142.06564:8106252 143.01655:608327 157.07693:381664 159.09222:14199745 185.07073:209458 186.05605:1770736 189.16383:172788 197.1313:168048 203.04205:590592 203.08306:55545300 204.08607:942138"
4816	"Cytidine"	826	2.102002	2.51912	3.016539	242.0779	52300304	724176832	"null"	"[M-H]-"	"M + 0"	"found in higher mz's MsMs_4849"	"2.533"	"242.0779"	"C9H13N3O5"	""	""	""	330	"True"	"True"	"True"	"100"	"96.2"	"96.1"	"100"	"98.4"	568.5889	"242.04339:187706 242.05339:20267 242.05886:150517 242.0717:91632 242.07794:16874004 242.08465:92652 242.17578:55107 243.04726:21035 243.07507:128429 243.08134:1334674 244.04047:55572 244.0789:18989 244.08172:77742 246.05703:471138 246.09789:25517 246.94692:34300 247.06061:23498"	"67.02851:216656 67.48467:27651 69.47487:28210 71.01211:94971 81.04447:570352 91.02916:458490 95.02374:44436 101.02321:26743 102.72015:26053 109.03913:8562380 110.03524:962989 116.03419:78695 126.06531:53360 152.04544:1224224 189.93368:24896 199.07255:69377 206.08078:96631 234.91471:28965 242.07929:2211642 242.1757:120891"
5219	"Urate"	886	1.917184	2.685335	2.950035	167.0201	27962814	777710272	"null"	"[M-H]-"	"M + 0"	""	"2.769"	"167.0202"	"C5H4N4O3"	""	""	""	330	"True"	"True"	"True"	"99.9"	"87.9"	"87.9"	"100"	"94.9"	257.3549	"167.01657:43004 167.02015:6488053 167.02399:41083 167.83553:171772 168.01683:28188 168.02355:172673 168.06554:98605 169.06103:79019 169.08597:57838 169.09704:109771 169.83279:145412 170.02153:597793 170.08108:81868 170.83255:21496 170.99595:65691 171.02492:34420 171.04004:39585 171.06513:72261 171.10151:88809 171.13795:89910 171.83048:78780 172.01844:187076"	"69.0082:82285 92.92667:30211 94.99914:13627 96.01904:395709 97.00265:64754 98.03512:24794 117.1868:12383 122.02194:12095 123.03052:39908 123.05512:16654 124.01368:2462181 125.01792:19768 132.86725:88945 142.02392:132852 150.05558:17198 167.0209:7920576 167.04961:52482 167.8347:20298 168.02356:66299"
5370	"Guanine"	904	2.502395	2.734443	3.099428	150.0412	28486456	385000544	"null"	"[M-H]-"	"M + 0"	"found in higher mz's MsMs_5376"	"2.769"	"150.041"	"C5H5N5O"	""	""	""	330	"True"	"True"	"True"	"100"	"86.3"	"93.8"	"100"	"95.5"	1163.873	"149.99325:79531 150.03791:68693 150.04118:9442068 150.04532:30370 150.88535:110516 151.02505:812126 151.03806:96670 151.0443:226456 151.06:133084 152.011:59610 152.02808:59812 152.04734:1000632 152.87079:62398 152.88217:80519 153.02953:29965 153.05092:66038 154.04437:214668 154.86804:62876 154.87972:51330 155.00893:2330524 155.03409:24018"	"55.01719:8823 59.01233:183352 66.00855:27956 66.43331:8742 71.0121:255872 73.02822:25386 82.0397:45820 83.01248:18556 85.0278:37343 87.00723:14652 89.02308:212442 90.00801:10134 92.92683:61738 97.02831:9588 101.02313:255991 106.00325:20576 107.03453:283624 108.01919:294980 113.02339:22543 119.03376:12640 126.02902:292290 131.03422:20632 132.98792:12689 133.01407:3645032 133.04904:21172 134.01798:30071 141.20239:8609 149.99109:10105 150.00305:51438 150.04155:2524975 150.06604:18174 151.02456:201128 151.04556:19911 151.05943:210766"
5502	"L-Valine"	922	2.402318	2.783768	4.038565	116.0705	136613424	2283814144	"null"	"[M-H]-"	"M + 0"	"similar chromatogram in higher mz_5509; found in higher mz's MsMs_5509"	"2.936"	"116.0703"	"C5H11NO2"	""	""	""	330	"True"	"True"	"True"	"99.7"	"74.4"	"75"	"100"	"89.3"	6272.733	"116.03434:950829 116.05861:19562 116.06646:47247 116.06765:73405 116.07047:42440904 116.07254:227515 116.07506:38136 116.08871:30466 116.11125:24274 117.01818:195791 117.06754:62613 117.0739:1840778 118.07472:84016 118.07714:36588 118.99755:21660 119.03373:70102 119.81455:17900 121.02804:112867"	"73.02763:64447 73.51786:65540 74.02347:466205 77.11249:66584 97.93393:88987 98.2611:70658 98.26849:68020 116.07095:13807436 117.07379:142620"
5787	"D-Arabitol"	970	2.47006	2.916754	4.471581	151.0601	65597856	1100721664	"null"	"[M-H]-"	"M + 0"	"similar chromatogram in higher mz_5792; similar chromatogram in higher mz_5802; found in higher mz's MsMs_5834; found in higher mz's MsMs_5831; found in higher mz's MsMs_5829"	"2.986"	"151.0601"	"C5H12O5"	""	""	""	330	"True"	"True"	"True"	"99.9"	"97.6"	"98.1"	"84"	"97.7"	3476.4	"150.88534:148984 151.02499:174112 151.05611:55973 151.06008:21454354 151.06338:148800 151.06514:40055 152.01091:37436 152.02838:119173 152.04724:427986 152.06332:797542 152.87097:73685 152.88262:97414 153.06456:95547 154.04438:112597 154.0861:43488 154.87972:52676 155.00862:692937 155.03364:37044"	"55.01719:54439 57.03267:53930 59.01245:1989256 59.01663:46230 71.01223:3055080 72.99153:53099 73.02782:383338 75.0068:44137 83.0125:222022 85.02793:366612 87.00734:162790 89.02322:2637310 91.03817:46008 92.92657:153497 101.02329:2784138 103.03887:75255 108.01901:134657 110.69501:34579 113.02335:168252 119.03384:193604 131.03453:198090 133.04903:215566 140.0477:31238 149.04424:58226 151.02467:715803 151.05968:2447280"
6102	"L-Proline"	1024	2.569748	3.065212	5.00101	114.0549	99383816	2326323968	"null"	"[M-H]-"	"M + 0"	""	"3.089"	"114.0547"	"C5H9NO2"	""	""	""	330	"True"	"True"	"True"	"100"	"75"	"75"	"100"	"89.6"	2988.492	"114.01861:65493 114.03796:30265 114.05038:28973 114.05153:37765 114.05485:24582886 114.05688:129412 114.93512:26759 115.00232:166148 115.03892:90690 115.05826:938805 115.07536:112590 116.0342:949316 116.05935:47140 116.07049:1271521 116.92714:47936 117.01823:555079 117.07374:34057 119.03358:72801"	"66.03349:201984 79.6165:42343 86.02336:121546 106.43002:47723 112.03942:43657 114.03887:81669 114.05503:13303839 114.93473:56480 115.05872:107889 130.06364:45044"
6381	"Guanosine"	1078	2.751135	3.21839	4.073059	282.0844	28373918	439549920	"null"	"[M-H]-"	"M + 0"	""	"3.22"	"282.08441"	"C10H13N5O5"	""	""	""	330	"True"	"True"	"True"	"100"	"87.9"	"87.9"	"100"	"95"	1163.456	"282.07592:45947 282.08434:9316424 282.09277:51649 282.25182:11734 283.06997:44940 283.07843:5675833 283.08725:903497 283.2642:181983 284.07496:27575 284.08164:413070 284.08858:37596 284.26731:32120 285.08246:58524 285.09729:7862 285.20691:6737 285.9915:6982 286.08614:10960 286.09303:14504 286.96887:18797 287.05347:178111"	"61.98664:64559 70.52084:24145 108.01919:36651 133.01387:230449 150.04167:13201674 150.06604:109354 282.08542:10807755 282.14822:87013 282.25165:59042"
6870	"Allantoin"	1192	3.116149	3.540998	4.488766	157.0359	195586720	3071943936	"null"	"[M-H]-"	"M + 0"	"found in higher mz's MsMs_6850; found in higher mz's MsMs_6848; found in higher mz's MsMs_6845; found in higher mz's MsMs_6844; found in higher mz's MsMs_6895"	"3.555"	"157.0356"	"C4H6N4O3"	""	""	""	330	"True"	"True"	"True"	"100"	"93.4"	"93.1"	"88.9"	"96.3"	1113.056	"156.9717:41359 157.00669:20228 157.01625:24076 157.02535:260292 157.03048:91801 157.03235:324651 157.03586:61540412 157.03911:349006 157.04308:40553 157.04495:16873 157.0487:96281 157.05825:15421 157.06408:31168 157.08552:81098 157.0991:23304 157.12219:440454 158.03263:640163 158.03904:2568763 158.04493:17747 158.12553:31203 158.91069:23417 158.98956:78071 159.0286:50348 159.03998:279531 159.0657:50613 159.07637:29090 159.10159:23362 160.06054:403878 161.0451:55313 161.06357:19965"	"59.02352:256306 66.43229:154965 71.02353:1072464 72.00727:118694 97.00294:12603290 103.67977:108328 113.03366:183485 114.02959:10225462 140.00833:794026 157.03547:1428479 157.12154:639655"
6927	"L-Tyrosine"	1204	2.9671	3.575294	4.420604	180.0657	519076128	9586491392	"null"	"[M-H]-"	"M + 0"	"found in higher mz's MsMs_6989"	"3.555"	"180.0657"	"C9H11NO3"	""	""	""	330	"True"	"True"	"True"	"100"	"99.9"	"99.9"	"100"	"100"	28157.02	"179.98583:21999 179.98812:81157 179.9947:21082 180.0073:20872 180.0313:52880 180.03375:48611 180.03709:31655 180.04185:51380 180.04425:19288 180.04854:36170 180.05084:41018 180.05685:153197 180.05914:161836 180.06573:138903264 180.07003:1097976 180.07347:115478 180.07691:54163 180.08206:44147 180.08865:42906 180.09668:34872 180.09897:42897 180.10155:58480 180.1446:98923 180.21165:17817 180.98833:25434 181.06342:173739 181.06889:13700204 181.07324:74521 181.08537:16829 182.06621:36402 182.06971:521824 182.07233:346403 182.96312:1787891 182.98744:651454 183.07323:77206 183.10162:55701 183.96701:32350 184.06058:93137 184.96028:490718 185.00838:21607 185.04449:75918"	"61.44262:153179 72.0078:5719008 74.0233:722250 93.03293:6663443 106.04151:803905 107.04926:547779 119.04851:9534297 120.05286:160827 134.0592:552103 136.07526:1037880 136.30433:165262 151.46022:160984 162.05465:749125 163.03958:28124522 164.04143:550729 180.06624:50240896 181.06975:494324"
7478	"Methioninesulfoxide"	1348	3.267704	3.987624	4.865547	164.0379	519997504	9120921600	"null"	"[M-H]-"	"M + 0"	"found in higher mz's MsMs_7532; found in higher mz's MsMs_7495; found in higher mz's MsMs_7524; found in higher mz's MsMs_7489; found in higher mz's MsMs_7483; found in higher mz's MsMs_7482; found in higher mz's MsMs_7438"	"3.907"	"164.0377"	"C5H11NO3S"	""	""	""	330	"True"	"True"	"True"	"99.9"	"99.6"	"98.8"	"86.7"	"98.6"	5352.748	"163.80976:16739 163.90053:14840 163.91048:22662 163.94632:17605 163.96897:66707 163.97096:28283 164.00507:18054 164.00764:54165 164.0118:15514 164.01521:42910 164.01802:36662 164.02201:45956 164.024:40217 164.02599:47442 164.03122:124549 164.03421:1129176 164.03794:144747488 164.04144:809534 164.04343:170816 164.04742:106382 164.0509:84821 164.05464:14549 164.05663:29360 164.05863:25780 164.06162:17196 164.06486:18409 164.06685:15480 164.06987:83932 164.07756:24338 164.07956:18440 164.08853:15003 164.10583:90421 164.16432:18045 164.17454:16455 165.01832:263286 165.02988:13433 165.03491:241427 165.03717:709868 165.04095:8510675 165.04371:86267 165.04672:15505 165.07715:14903 166.01663:20324 166.02171:30652 166.02982:48028 166.03338:6623293 166.03718:42260 166.04175:658803 166.04403:73209 166.04707:13924 166.05313:1033004 166.06128:18359 166.95598:14028 166.99282:35507 167.03069:20734 167.03681:223525 167.04484:41635 167.05219:16836 167.05629:29808 167.10648:21511 168.03237:24107 168.03754:27858 168.0396:12999 168.0489:37999 168.06543:34884 168.9889:14227"	"56.4135:126883 60.97402:1543749 62.98929:408165 63.96076:7921290 64.96901:267464 66.43177:125233 70.02855:258421 71.79272:126485 72.00739:2173333 76.96892:8574469 76.97521:192887 77.97669:1266470 78.98484:304012 79.95598:9712418 80.96373:906236 89.37713:136965 91.14785:122526 97.40655:129405 100.03946:14501283 101.04247:232979 137.93699:126499 149.01492:1829895 155.33807:138391 164.03745:12443816 165.04244:172227"
8270	"Shikimate"	1534	4.073059	4.522693	5.291531	173.0448	584134272	9890024448	"null"	"[M-H]-"	"M + 0"	"found in higher mz's MsMs_8217; found in higher mz's MsMs_8214; found in higher mz's MsMs_8205; found in higher mz's MsMs_8201; found in higher mz's MsMs_8195; found in higher mz's MsMs_8192; found in higher mz's MsMs_8276; found in higher mz's MsMs_8274"	"4.401"	"173.0446"	"C7H10O5"	""	""	""	330	"True"	"True"	"True"	"99.8"	"99.9"	"99.5"	"95.8"	"99.5"	172.8501	"172.74834:23129 172.79438:19407 172.97079:109320 172.97658:25461 172.9809:18881 173.01193:57067 173.01543:23852 173.01894:30029 173.02218:49254 173.02623:26805 173.02866:57199 173.0354:53974 173.04485:168464256 173.04863:1059556 173.05646:47264 173.05861:58752 173.06212:32256 173.06941:38905 173.07184:35844 173.07476:52201 173.07832:42972 173.08021:45951 173.08669:34299 173.09137:508994 173.11072:23626 173.11721:50668 173.11964:65075 173.2964:23513 174.0402:21811 174.04401:78187 174.04782:13428904 174.05409:32860 174.09548:44203 174.94536:26042 174.95527:144882 175.04881:1696893 175.05103:231723 175.06064:28250 176.05229:102166 176.05563:104968 177.05487:27032"	"55.01758:321536 57.03308:293367 58.0046:222275 59.01233:327064 65.03811:142803 69.03316:344709 71.01217:965624 71.04901:348664 73.0282:15032833 81.0333:1007026 83.04906:4804393 85.02786:2644454 93.03296:29151144 94.03602:207448 99.0072:4876266 99.04365:6096346 101.0232:480226 109.02828:587898 111.04378:18320258 113.02339:463753 123.18601:140963 129.01747:2138673 129.05509:481326 137.0226:12189141 140.95603:154579 143.03438:2590517 155.03363:6234272 173.04504:10095214 173.09262:385127"
8745	"Taurine"	1642	4.281859	4.831524	5.786349	124.0063	376231072	6236545024	"null"	"[M-H]-"	"M + 0"	"found in higher mz's MsMs_8759; found in higher mz's MsMs_8754; found in higher mz's MsMs_8750; found in higher mz's MsMs_8748; found in higher mz's MsMs_8781"	"4.842"	"124.0061"	"C2H7NO3S"	""	""	""	330	"True"	"True"	"True"	"100"	"87.8"	"87.8"	"100"	"94.9"	4508.13	"123.78194:17158 123.90156:53857 123.92249:19216 123.96148:78635 123.98008:15234 123.98401:16520 123.98516:17290 123.9863:54028 123.9926:70457 123.994:31112 123.9958:41664 123.99711:28945 123.99924:43793 124.00104:101014 124.00251:129927 124.00382:779962 124.00627:109479536 124.00857:583498 124.0107:125896 124.01201:53051 124.01594:30929 124.01774:41730 124.01938:48895 124.02069:40479 124.02675:33890 124.02789:27072 124.04362:18837 124.04689:17758 124.05017:22846 124.05148:58545 124.08949:18706 125.00309:207142 125.00541:581811 125.00944:2326906 125.01227:55171 125.02304:24950 125.03431:28650 125.05951:19457 125.89879:41089 125.99952:39012 126.00186:5040550 126.01021:552641 126.90371:63940 127.00555:63712 127.01362:20108 127.03872:43095 127.07525:29978 127.89617:16141 128.00102:14523 128.006:22971 128.03399:386069 128.07042:23091"	"64.96901:640207 79.95582:33906540 80.96364:811333 94.97895:543381 105.29971:189671 106.97977:1294566 123.98748:539714 124.00579:69644120"
8979	"L-Threonine"	1696	4.437802	4.983798	6.122602	118.0498	549836800	9727336448	"null"	"[M-H]-"	"M + 0"	"found in higher mz's MsMs_9025; found in higher mz's MsMs_9024; found in higher mz's MsMs_9023; found in higher mz's MsMs_8989"	"5.001"	"118.0496"	"C4H9NO3"	""	""	""	330	"True"	"True"	"True"	"100"	"93.9"	"93.1"	"75"	"95.2"	3697.875	"117.84079:18726 117.88266:23863 117.9112:16648 117.92825:55947 117.96647:18333 118.00801:150229 118.01449:24340 118.02483:20083 118.02772:27656 118.02909:37015 118.03091:81956 118.03274:30425 118.03395:19417 118.03593:62150 118.03768:61143 118.03973:76487 118.04186:48484 118.04384:56015 118.04764:1455292 118.04976:169899696 118.05159:1001890 118.05935:92962 118.06117:43944 118.063:57771 118.06635:33323 118.06802:44408 118.06984:26144 118.07121:29594 118.07715:18371 118.07897:18716 118.0808:24127 118.08567:16278 118.09114:97175 118.09236:42527 118.12706:26757 118.18919:26961 118.21662:22098 118.99094:21441 119.03344:215676 119.04675:405355 119.05083:82395 119.05298:8242508 119.05545:102046 119.97463:152743 120.01104:80575 120.05017:24977 120.05388:975125 120.05624:62371 121.02817:616869 121.03942:32211 121.05757:35440 121.99044:22875 122.02367:39212 122.07099:41248 123.00769:26389 123.02071:51871"	"51.6249:158884 57.1112:153189 67.02325:186653 71.1622:157541 72.00735:10610490 72.01364:249045 73.4008:164776 74.02339:20458374 113.5323:171528 118.04951:5833052"
9293	"Itaconate"	1756	4.728721	5.154041	5.479555	129.0182	239418304	3787530240	"null"	"[M-H]-"	"M + 0"	""	"5.122"	"129.0181"	"C5H6O4"	""	""	""	330	"True"	"True"	"True"	"100"	"73.2"	"75"	"100"	"89.1"	1237.832	"128.828:14786 128.85852:11884 128.97029:45546 128.9715:13019 128.97862:12601 128.98835:11162 128.99651:39595 128.99808:13311 129.00172:21182 129.00329:22013 129.0045:30747 129.00572:17613 129.01354:58779 129.01562:440288 129.01823:76850112 129.02084:368790 129.0257:35735 129.02796:28885 129.029:21358 129.03126:31845 129.03265:30195 129.037:29013 129.03933:32467 129.04604:10972 129.0516:11002 129.05403:113972 129.0658:54568 129.09058:164350 129.10654:15149 129.52501:21735 130.01895:26985 130.02141:4148632 130.02405:45492 130.04944:119107 130.05798:13110 130.08613:99611 130.92972:36791 131.02224:457890 131.02478:46968 131.03358:152793 131.06996:21458 131.08117:11404 132.02578:31121 132.02865:34394 132.04013:431810 132.8667:14949 132.92828:31504 133.01282:23621 133.08561:23639 133.99038:83868"	"64.82372:95339 84.03629:96198 85.02786:9633095 89.74938:88149 95.62227:104606 98.69306:89870 111.7016:96199 116.40976:98349 129.01773:549931 129.09127:95451"
9487	"Glucose?"	1804	4.865547	5.291531	5.988401	179.0552	8936751	227242176	"null"	"[M-H]-"	"M + 0"	""	"5.373"	"179.05521"	"C6H12O6"	""	""	""	330	"True"	"True"	"True"	"99.9"	"98.3"	"91.9"	"67.9"	"95.5"	134.5227	"178.84293:6900 179.03393:11093 179.05126:12182 179.05523:2414985 179.9967:6723 180.02963:8941 180.03306:9557 180.05841:89652 180.06567:143789 180.89886:6890 180.98862:28053 181.01315:10502 181.0247:7878 181.05936:9666 181.06889:8030 181.07081:37254 182.04494:16206 182.08135:15215 182.96343:2243092 182.96755:11806 182.98777:773714 183.10202:57363 183.96656:32232 183.99126:21510"	"58.0046:11850 59.01234:608870 60.01568:4223 66.43177:4340 71.01207:479724 72.99151:19666 73.02763:5412 83.01248:13218 84.98915:15255 85.0276:38723 87.00724:12032 89.023:388623 95.01222:21152 101.02304:104817 113.02319:80869 119.03338:37693 135.04518:11788 163.03962:10449 178.84179:15880 179.0575:5558 180.06508:21531"
