"PeakID"	"Title"	"Scans"	"RT.left.min."	"RT..min."	"RT.right..min."	"Precursor.m.z"	"Height"	"Area"	"Model.masses"	"Adduct"	"Isotope"	"Comment"	"Reference.RT"	"Reference.m.z"	"Formula"	"Ontology"	"InChIKey"	"SMILES"	"Annotation.tag..VS1.0."	"RT.matched"	"m.z.matched"	"MS.MS.matched"	"RT.similarity"	"Dot.product"	"Reverse.dot.product"	"Fragment.presence.."	"Total.score"	"S.N"	"MS1.isotopes"	"MSMS.spectrum"
1743	"L-Dihydroorotic acid"	547	1.469305	1.824188	2.350466	157.0244	748088000	8944634880	"null"	"[M-H]-"	"M + 0"	"found in higher mz's MsMs_1765; found in higher mz's MsMs_1761; found in higher mz's MsMs_1676; found in higher mz's MsMs_1674"	"1.824"	"157.0244"	"C5H6N2O4"	""	""	""	330	"True"	"True"	"True"	"100"	"90.5"	"91.5"	"82.6"	"94.8"	12566.11	"156.70576:37996 156.93861:37360 156.95982:164223 156.96169:43713 156.96752:39691 156.96938:38356 156.97591:49894 156.98337:55244 156.98617:39381 156.98897:49495 156.99084:41757 156.99552:163621 156.99923:69856 157.00095:102674 157.00462:152210 157.0067:57405 157.0095:168697 157.01346:155256 157.01696:199820 157.02093:2126326 157.02442:351433568 157.02793:1541030 157.02979:560604 157.03236:241490 157.03633:92924 157.03819:171615 157.04099:120461 157.04309:47466 157.04496:139679 157.04852:138433 157.05056:75086 157.05406:86769 157.05896:61291 157.06083:38143 157.06456:46125 157.06643:52373 157.0683:39437 157.0739:38040 157.08043:43735 157.0823:34636 157.08826:210698 157.10098:35528 157.12129:134446 157.13741:35025 157.70695:36483 158.02126:1720847 158.02492:114712 158.0275:19009458 158.04446:461214 158.05601:42226 158.98935:36776 159.01598:54933 159.02459:114168 159.0283:2422450 159.03072:244218 159.06449:44677 160.03179:93701 160.06027:1337792 161.06359:71776"	"58.02808:13511 60.0073:10278 67.0176:32138 68.99674:7669 70.02804:259123 71.01212:7895 71.02347:41106 78.95762:48805 85.02792:39085 86.02342:41932 86.05971:8328 95.04924:15076 96.00752:29405 97.9367:6293 110.99612:5746 111.00723:398446 111.01942:8426 113.03369:1504517 113.05984:130276 113.09524:10297 114.01811:267089 114.03772:9947 129.05372:11202 130.06506:7308 139.07499:6328 156.86434:71289 156.89402:18421 156.94455:100672 157.02467:198440 157.04908:67472 157.07518:29650 157.12182:445994 157.86042:5391 158.04494:33336"
1749	"L-Phenylalanine"	547	1.502684	1.824188	2.784934	164.0706	216671184	2965866240	"null"	"[M-H]-"	"M + 0"	""	"1.808"	"164.0705"	"C9H11NO2"	""	""	""	330	"True"	"True"	"True"	"100"	"94"	"94"	"100"	"97.5"	5939.151	"164.00158:47768 164.03446:42938 164.04542:47204 164.05439:57692 164.06161:29239 164.06684:523575 164.07056:89092416 164.07631:150244 164.0793:59816 164.08329:38624 164.08528:51740 164.09226:44425 164.10223:46424 165.01844:109069 165.0676:132587 165.07385:8847055 165.07689:124664 166.05297:373006 166.07498:181635 166.07678:189340 168.06543:128994 169.0608:86536"	"72.00725:6946072 91.05367:533083 103.05377:331879 146.06075:170208 147.01986:224021 147.04352:33090226 148.04653:471601 164.07129:27166536 164.09926:167452 165.07497:424841"
1815	"Uridine"	559	1.255907	1.857084	2.550083	243.0616	19986892	238057856	"null"	"[M-H]-"	"M + 0"	"found in higher mz's MsMs_1793"	"1.857"	"243.0616"	"C9H12N2O6"	""	""	""	330	"True"	"True"	"True"	"100"	"100"	"100"	"100"	"100"	901.8124	"243.06163:8799852 243.06836:56444 244.02781:38142 244.05945:32404 244.06476:691395 244.98466:68005 245.06537:69054 247.07165:22268"	"59.01233:9073 66.03349:67397 68.01255:10313 71.01211:6746 82.02835:112684 84.0436:10282 89.02313:6607 94.02824:13033 96.04396:20818 108.04384:38576 110.00779:12417 110.02309:1881047 111.0183:408231 117.01859:35144 120.04413:8644 122.02338:62082 124.0395:25862 126.05458:15890 132.02853:28329 138.01832:22846 138.054:23468 140.0335:295882 152.0346:512060 153.02985:270351 164.03346:12952 182.04408:32782 200.01906:6770 200.05649:1258226 200.09421:9461 201.05884:11965 243.06099:1121214 243.11503:7215 243.15819:8746 244.06345:7728"
1893	"Hypoxanthine"	583	1.694318	1.924673	2.078584	135.0301	9586996	112237568	"null"	"[M-H]-"	"M + 0"	""	"1.925"	"135.03011"	"C5H4N4O"	""	""	""	330	"True"	"True"	"True"	"100"	"88"	"88"	"100"	"95"	122.6767	"134.89333:43924 135.01632:7713 135.0273:29997 135.03009:4700470 135.03213:25003 135.04421:20546 135.04925:15157 135.05502:10278 135.94388:228503 135.96964:15268 136.02718:18518 136.03337:194500 136.05051:12373 136.89055:16521 136.94697:7375 137.02309:22236 137.02852:8211 137.03156:28556 137.03442:7089498 137.03727:36403 137.03879:11609 137.93928:76680 138.01846:31155 138.0298:9253 138.03134:19527 138.03787:330198 138.06576:8067 138.98613:9090 139.01391:14288 139.03851:26190 139.04113:10257 139.97417:35862"	"65.0128:36450 66.00804:4113 75.00742:12769 80.97389:3741 86.94338:3954 92.02413:1686881 92.03585:11353 93.02702:11016 93.25126:3939 106.02707:4322 107.03456:13611 107.04822:14728 108.03837:11746 109.94106:59531 126.02908:5729 133.01424:21274 134.8935:226432 135.00797:21170 135.03032:3037959 135.04965:105034 135.89319:3977 135.94434:46750 135.96985:9113 136.03335:23979"
1951	"Deoxycytidine"	607	1.653504	1.993208	2.583879	226.0826	49251296	594860800	"null"	"[M-H]-"	"M + 0"	"found in higher mz's MsMs_1957"	"1.993"	"226.0826"	"C9H13N3O4"	""	""	""	330	"True"	"True"	"True"	"100"	"97"	"97"	"100"	"98.7"	4637.18	"226.06042:12300 226.06727:10254 226.07493:43464 226.07695:147293 226.08261:21416808 226.08864:148489 226.10677:11492 226.19387:11955 227.06662:59373 227.07982:129273 227.08591:1879598 227.12811:11410 227.20077:20895 228.08655:76320 228.98937:18150 229.09048:17019 230.01236:31500 230.98553:24480"	"50.87324:7951 61.98665:9121 66.03346:71354 67.02846:11120 67.16296:9097 93.03214:14289 93.04409:2779335 94.02826:9227 94.04815:12869 103.27442:9219 110.03406:618372 112.04957:19306 114.43613:8753 125.14003:8248 130.08611:77264 135.05556:343293 136.04948:90184 138.06465:9912 151.28889:7944 154.06053:14886 183.07611:72184 192.6287:8216 201.47054:9522 226.08384:446031 242.15072:9579"
2042	"Xanthine"	631	1.79167	2.062066	2.450715	151.0251	53577920	669493312	"null"	"[M-H]-"	"M + 0"	"found in higher mz's MsMs_2028; found in higher mz's MsMs_2049; found in higher mz's MsMs_2064"	"2.062"	"151.0251"	"C5H4N4O2"	""	""	""	330	"True"	"True"	"True"	"100"	"88"	"88"	"100"	"95"	2165.332	"150.96503:20529 151.00661:10753 151.01299:11256 151.01475:10213 151.01651:10001 151.02201:128180 151.02509:25215364 151.02839:143990 151.03829:17601 151.04974:14183 151.0515:12032 151.06009:11063 151.08607:13997 152.02197:258352 152.02846:1229436 153.02934:77673 154.01311:11387 154.0249:11426 154.04961:10853 154.08611:19968 154.99773:18193 155.0087:582063 155.03434:22653 155.04556:23690 155.07003:25721 155.10669:11626 156.01217:28251"	"51.75498:10868 61.25666:11105 66.82436:10174 73.10999:10397 80.08146:9759 107.04927:13818 108.01922:1808900 109.02181:14220 126.02914:113912 133.01413:30267 136.01499:37621 141.40157:10920 150.99805:40621 151.02452:10770482 151.05087:76762 151.08609:14531 152.02856:75959"
2092	"L-Leucine or L-Isoleucine???"	649	1.740677	2.113053	2.784934	130.0861	365965024	7182003200	"null"	"[M-H]-"	"M + 0"	"similar chromatogram in higher mz_2093; similar chromatogram in higher mz_2057; similar chromatogram in higher mz_2103; similar chromatogram in higher mz_2080"	"2.1"	"130.08611"	"C6H13NO2"	""	""	""	330	"True"	"True"	"True"	"100"	"75"	"75"	"100"	"89.6"	9946.244	"129.89354:13472 129.90056:8027 129.98978:9439 130.01439:10893 130.02494:8008 130.03619:10436 130.03847:36989 130.04041:9439 130.04181:11337 130.04603:11711 130.04955:21948 130.05078:31877 130.05377:10211 130.05799:8985 130.06221:11627 130.06362:17546 130.06503:36339 130.06942:26346 130.07083:27076 130.07294:7645 130.07417:13344 130.07646:23679 130.07998:47040 130.08139:52123 130.0835:364570 130.08614:81622536 130.08877:470117 130.09018:135825 130.09317:30690 130.09669:17364 130.0988:12425 130.10091:17650 130.10215:26970 130.10355:9308 130.10531:17688 130.10672:14199 130.10781:44863 130.10936:9619 130.11288:8039 130.11781:9596 130.11921:9421 130.12133:8079 130.12555:9122 130.12766:8156 130.13118:15737 130.13259:7862 130.13444:59934 130.14456:8887 130.15724:9944 130.15864:8338 130.99101:16629 131.0334:46870 131.0449:25932 131.06979:10135 131.08314:135772 131.08937:5354520 131.09186:82376 132.02881:369814 132.05529:17389 132.09012:206978 132.09253:82243 133.01275:36845 133.08547:27133 133.09363:15482 133.99018:39231 134.02331:10091 134.04593:386480 134.07115:12323 134.89348:118626 135.02879:116413 135.02991:399955 135.04384:42652 135.04907:12445"	"53.17873:141345 66.43281:163734 66.43641:139186 79.40333:146239 82.80198:132601 84.08016:205042 88.33322:154626 97.93487:191028 130.04959:261951 130.08618:77976408 130.10588:412775 131.08976:652990"
2120	"Inosine"	655	1.774541	2.129886	2.499498	267.0732	13593649	166766304	"null"	"[M-H]-"	"M + 0"	""	"2.13"	"267.07321"	"C10H12N4O5"	""	""	""	330	"True"	"True"	"True"	"100"	"97"	"97"	"100"	"98.7"	1876.712	"267.06594:29692 267.0732:5883608 267.08095:30484 267.08612:29151 267.09211:244086 268.07061:49155 268.07623:475673 268.09403:10999 268.96168:16598 269.0773:30896 269.10242:10088"	"59.01233:20159 66.77257:17676 78.91696:18036 108.0192:9250 133.0139:41839 134.01799:27153 135.03022:1538403 142.42302:7941 150.0398:1713046 151.04518:1556971 176.05707:104611 177.04285:8190 177.06139:221617 237.08119:9716 249.07987:21693 253.6269:8767 267.01564:33767 267.09294:7148794 267.15227:66510"
2223	"Cytosine"	691	2.078584	2.232492	2.784934	110.0347	8055343.5	114007224	"null"	"[M-H]-"	"M + 0"	""	"2.232"	"110.0347"	"C4H5N3O"	""	""	""	330	"True"	"True"	"True"	"100"	"88"	"88"	"100"	"95"	334.6392	"110.03265:26257 110.03471:3558405 110.03662:18640 111.00745:99993 111.01882:120791 111.03824:50469 112.00256:14397 112.03911:49862 112.05036:987259 112.9844:170707 112.998:42113 113.02291:34635 113.0345:141741 113.05385:33190 114.01833:47444 114.05472:31659 114.93513:33502 115.00236:74066"	"55.39695:3141 57.46451:3271 65.99687:4189 66.03319:19337 67.02854:224634 100.01758:3875 109.94108:13258 110.02394:20001 110.03409:260884 110.07131:9222 110.99835:11096 111.00612:3973 111.01831:17999 125.60875:3565"
2229	"Deoxyguanosine"	691	1.924673	2.232492	2.818394	266.0895	59379560	759640320	"null"	"[M-H]-"	"M + 0"	""	"2.232"	"266.08951"	"C10H13N5O4"	""	""	""	330	"True"	"True"	"True"	"100"	"88"	"88"	"100"	"95"	7580.957	"265.94756:11336 266.07102:13674 266.07771:38031 266.08183:158717 266.08955:23295056 266.09675:161450 266.10344:23065 266.10962:15961 266.22958:11933 267.0731:633549 267.0871:308583 267.09232:2273989 268.07061:11064 268.07687:51690 268.08934:17699 268.09351:93624 269.01398:14011"	"59.01235:93977 66.52174:67632 107.03455:45566 108.01919:47025 119.03377:24315 133.01373:275782 134.03417:27430 149.03215:44252 150.04162:12507477 150.06604:98985 151.04556:25134 176.05708:1222434 236.07676:22175 248.07984:53051 266.02923:198757 266.09097:25381704 266.14863:247682 266.23514:24350 267.09429:29409"
2247	"Xanthosine"	697	1.840755	2.2497	2.433974	283.0682	17492572	280319008	"null"	"[M-H]-"	"M + 0"	""	"2.232"	"283.06821"	"C10H12N4O6"	""	""	""	330	"True"	"True"	"True"	"100"	"94"	"94"	"100"	"97.5"	1972.349	"283.05524:13074 283.06823:6078366 283.07783:275605 283.09251:18104 283.26354:75085 284.06477:60030 284.07128:453212 284.08116:19326 284.26746:21036 285.067:65946 285.07271:22324 287.05374:38775"	"60.6836:8651 61.98664:2302142 65.99685:13481 70.76696:13655 78.91763:13376 90.18891:8045 103.92855:9327 106.11514:8968 108.01919:20147 127.04965:42677 130.39208:8067 150.99803:37433 151.02434:10439650 151.05084:72263 228.36774:8942 247.0932:21630 266.04569:9465 268.74151:10078 283.00432:36462 283.06756:6749054 283.13532:43250 283.18956:11781 283.26208:495371 292.72204:10280"
2282	"L-Methionine"	709	1.941519	2.283687	2.818394	148.0426	137010656	2206974208	"null"	"[M-H]-"	"M + 0"	"found in higher mz's MsMs_2244"	"2.284"	"148.0426"	"C5H11NO2S"	""	""	""	330	"True"	"True"	"True"	"100"	"88"	"88"	"100"	"95"	7540.275	"147.98371:25534 148.02128:11398 148.02448:11329 148.02747:19075 148.03003:22159 148.0326:11515 148.03409:12414 148.03516:17993 148.03943:106109 148.03964:269970 148.04263:38567328 148.04584:231918 148.05096:18388 148.05459:15739 148.05716:13834 148.06912:14756 148.10074:23151 149.02308:16481 149.03956:68447 149.04188:148859 149.04593:2035813 149.04897:18092 149.99348:73670 150.03835:1648689 150.04533:12825 150.04666:83919 150.04947:25921 151.02502:358979 151.03895:21005 151.04177:43373 152.07071:27857 152.87098:21267 152.88263:12554 153.0181:12447"	"61.14857:64878 66.43179:84569 67.64694:57922 67.66014:64566 100.03849:691188 118.12987:64822 123.71557:63148 136.29531:67029 141.34419:68819 148.04295:1464508 158.38287:73360 162.43316:65647"
2469	"N-Acetyl-D-Glucosamine"	757	2.129886	2.41729	2.700626	220.0817	569008.9375	9011362	"null"	"[M-H]-"	"M + 0"	""	"2.38"	"220.08211"	"C8H15NO6"	""	""	""	520	"True"	"True"	"False"	"100"	"null"	"null"	"null"	"99.9"	113.5275	"220.08171:129842 223.04853:94273 224.05526:15424 225.02589:28382 225.0455:32491 225.06392:15123"	""
2494	"L-Tryptophan"	763	2.078584	2.433974	2.835519	203.0819	86267464	1351712256	"null"	"[M-H]-"	"M + 0"	"similar chromatogram in higher mz_2501; similar chromatogram in higher mz_2502; found in higher mz's MsMs_2575"	"2.434"	"203.08189"	"C11H12N2O2"	""	""	""	330	"True"	"True"	"True"	"100"	"99.3"	"100"	"100"	"99.8"	2100.042	"202.98791:17359 202.99658:52794 203.03819:147181 203.07127:21719 203.07538:61846 203.08192:26162058 203.08671:173162 203.0898:35517 204.03921:23047 204.07899:140349 204.08518:2990045 205.07397:18153 205.08599:58942 205.08843:65790 206.04822:23091 206.08097:204044 206.08926:14921 207.08489:21099"	"50.77048:67559 72.00732:3252948 74.02332:4436096 116.04962:14664480 116.06622:128200 117.05216:127927 129.0563:328338 130.065:411953 132.0805:139199 142.01279:88546 142.06423:4404764 143.01656:196612 143.06849:63299 157.07507:126709 159.09233:7555584 160.09442:99691 167.02096:59748 185.07074:76327 186.05628:1472034 203.04206:382950 203.0806:31591928 203.12167:247155 204.08632:380828"
2717	"Cytidine"	805	2.215619	2.550083	2.868039	242.0779	13209092	180560832	"null"	"[M-H]-"	"M + 0"	"found in higher mz's MsMs_2747"	"2.533"	"242.0779"	"C9H13N3O5"	""	""	""	330	"True"	"True"	"True"	"100"	"97"	"97"	"100"	"98.7"	281.9493	"242.0431:89499 242.05897:101201 242.07795:4160292 243.06163:14167 243.07446:40649 243.08084:317305 244.04047:23785 244.0816:30174 244.11868:14566 244.98468:55566 245.1021:14748 246.05645:252433 246.09788:13310"	"67.02849:82095 71.01219:53195 79.12152:6592 81.04449:201871 85.02782:7523 91.02836:187084 95.02375:14972 101.02225:10320 109.01966:9293 109.03911:3647386 109.0553:18929 110.03413:402731 116.03429:69257 121.03836:11200 126.06533:10613 139.0501:8355 152.04537:537029 164.07134:8715 181.15763:7224 182.05602:12275 199.07257:25850 206.08124:47646 225.14838:22671 242.07926:1067570 242.17537:157398 242.21505:6946 248.78186:7022"
3018	"Urate"	877	2.062066	2.751638	3.320199	167.0202	11136449	375635040	"null"	"[M-H]-"	"M + 0"	"similar chromatogram in higher mz_2953"	"2.769"	"167.0202"	"C5H4N4O3"	""	""	""	330	"True"	"True"	"True"	"100"	"88"	"88"	"100"	"95"	194.6056	"167.02016:2692763 167.83547:76084 168.01711:13840 168.02331:103653 168.06541:16375 169.08607:27547 169.09702:59127 169.83255:77784 170.02122:248113 170.08091:67618 170.99551:34461 171.02494:14093 171.06526:51055 171.10144:47532 171.83131:29983 172.0184:63420"	"68.99401:9080 69.00811:26311 92.92654:20075 96.01903:232074 97.00295:38298 98.03425:28157 122.02195:10520 123.03031:23923 123.05513:16497 124.01368:1467786 125.01793:6492 132.86586:93993 142.0241:106634 150.05385:9535 166.83275:14406 167.01891:5282025 167.04962:39267 167.08239:8552 167.83415:26617 168.02365:55558 184.07177:7020"
3067	"Guanine"	883	2.532915	2.768717	3.637546	150.041	12851229	183390256	"null"	"[M-H]-"	"M + 0"	"similar chromatogram in higher mz_3125; similar chromatogram in higher mz_3132; found in higher mz's MsMs_3072"	"2.769"	"150.041"	"C5H5N5O"	""	""	""	330	"True"	"True"	"True"	"100"	"94"	"94"	"100"	"97.5"	797.0605	"149.99325:69373 150.00088:15766 150.04096:4371524 150.04423:33667 150.88544:68888 151.0253:199177 151.03762:27801 151.04422:113930 151.06007:32027 152.01113:24762 152.04711:762017 152.07048:25711 152.87084:154491 152.8824:61454 152.98555:12119 152.99452:13848 153.02953:22926 153.05041:17144 154.00744:15673 154.04436:185820 154.05005:13787 154.86784:67440 154.87972:26808 155.00861:263149"	"66.00812:37109 78.00853:11144 82.03966:50866 90.00801:9776 92.9265:49476 106.00321:39365 107.03449:314575 108.01909:274304 126.02901:456341 132.99374:29943 133.01403:3961413 133.03594:22322 134.01831:37157 149.99283:21302 150.04151:3009314 150.06604:17801 151.02448:302627 151.04345:31941 168.07626:10341"
3337	"L-Valine"	937	2.433974	2.919183	4.485103	116.0703	100361424	1865456000	"null"	"[M-H]-"	"M + 0"	"similar chromatogram in higher mz_3346"	"2.936"	"116.0703"	"C5H11NO2"	""	""	""	330	"True"	"True"	"True"	"100"	"75"	"75"	"100"	"89.6"	3065.743	"116.02927:16060 116.03424:432386 116.05254:14366 116.05729:12843 116.06188:18099 116.06277:17188 116.06633:40477 116.07034:38786948 116.07256:255066 116.07493:37168 116.07849:25603 116.08872:22823 116.11112:33578 116.92714:367080 116.93299:35630 117.01806:416253 117.05468:30129 117.06729:46983 117.07375:2098273 117.07645:25103 117.92745:24492 118.04962:42106 118.07457:73293 118.91665:30145 118.95052:48711 119.03349:99217 119.98455:27239 121.02819:247175"	"59.73574:31056 72.04381:50506 73.02764:50111 74.02338:425141 77.0047:27530 82.34718:26927 97.93487:29717 98.02318:31451 116.03422:46597 116.06981:10641575 116.08759:98339 116.92727:213387 117.0738:92620 134.46947:28519"
3422	"D-Arabitol"	961	2.600558	2.986159	4.777949	151.0601	127832536	1926775424	"null"	"[M-H]-"	"M + 0"	"similar chromatogram in higher mz_3409; similar chromatogram in higher mz_3410; found in higher mz's MsMs_3427"	"2.986"	"151.0601"	"C5H12O5"	""	""	""	330	"True"	"True"	"True"	"100"	"100"	"100"	"100"	"100"	5169.882	"151.02553:55341 151.03235:12517 151.03631:10915 151.04247:11788 151.04534:13420 151.04886:17099 151.05062:27564 151.05348:41821 151.05678:251841 151.06009:44440104 151.06339:209845 151.06603:44926 151.06779:32848 151.07219:17012 151.07395:9864 151.07682:9625 151.08298:12776 151.08716:23386 151.12064:29719 152.03425:14584 152.04759:9370 152.06337:2400960 152.06604:39884 153.06434:251801 153.06681:13919 154.04983:21177 154.06117:11813 154.06752:13269 154.08588:35946 155.00863:247905 155.03316:28776 155.07005:24870 155.10669:14759 156.02947:11980"	"55.0172:57523 57.03309:33272 58.00419:24717 59.01238:1368825 69.03318:22291 71.01217:2051908 72.99154:52049 73.02768:255400 75.00743:17389 83.0125:132105 85.02786:301097 87.00741:108579 89.02316:1923088 91.03818:31417 97.02833:15409 101.02325:2113319 103.03888:32326 107.04928:24188 108.01921:50726 113.02348:163625 119.03382:207128 131.03427:167793 133.0493:148146 136.01499:42190 149.04426:46963 151.02501:278410 151.05981:2110832"
3522	"L-Proline"	997	2.667447	3.088811	4.579863	114.0547	192261808	3465876224	"null"	"[M-H]-"	"M + 0"	"similar chromatogram in higher mz_3541"	"3.089"	"114.0547"	"C5H9NO2"	""	""	""	330	"True"	"True"	"True"	"100"	"75"	"75"	"100"	"89.6"	6729.841	"113.98845:10212 114.00115:8049 114.01486:38703 114.01601:14456 114.01881:20990 114.02872:11792 114.03709:25705 114.03868:13087 114.04273:23983 114.04662:8960 114.04792:16416 114.05081:50612 114.05254:136630 114.05471:56894808 114.05688:383617 114.05919:43936 114.06107:43545 114.06641:11542 114.06757:20845 114.06944:14566 114.07147:13819 114.07291:10153 114.08143:12405 114.09429:45166 114.50155:37199 114.93269:37702 114.93483:47148 115.00233:125086 115.01347:11697 115.03861:302929 115.05158:125405 115.05794:3167197 115.06073:35246 115.07489:317078 115.91909:11738 116.02393:9624 116.03402:360326 116.04231:9807 116.05887:126081 116.06133:43006 116.07032:4309396 116.0724:20600 116.07848:19190 116.92714:1234107 116.93313:29120 116.93854:10125 116.95843:25520 117.01787:260155 117.03711:13927 117.05436:44194 117.06218:9178 117.06759:15573 117.07356:143561 117.92718:68024 118.02133:11544 118.03958:10017 118.0493:45782 118.91679:56623 118.92541:18841 119.03374:160582"	"50.29348:96167 66.03302:1015197 74.07771:92481 84.8815:92050 86.02327:486609 91.12229:100308 99.05117:94645 107.52997:116478 112.03832:197554 114.05504:54721668 114.07123:405704 115.05757:394319"
3623	"Guanosine"	1041	2.784934	3.21952	4.064823	282.0844	13735029	234656784	"null"	"[M-H]-"	"M + 0"	""	"3.22"	"282.08441"	"C10H13N5O5"	""	""	""	330	"True"	"True"	"True"	"100"	"88"	"88"	"100"	"95"	827.2808	"282.08434:4188974 282.0922:22762 282.25181:7705 283.06996:24448 283.07844:3070695 283.08647:325634 283.26358:128151 284.07495:10255 284.08096:180728 284.08857:20418 284.2676:21271 285.08208:37160 286.09302:9975 287.05347:285692"	"56.25107:8149 60.86426:8023 61.98676:119082 65.99735:13422 66.00804:8502 70.52084:18299 80.22234:8769 85.88654:8595 95.3691:8729 97.93392:8953 107.03455:25725 108.01919:13379 133.01383:164493 150.04164:9830479 150.06604:74876 192.05175:19736 262.67402:9224 282.01791:61750 282.08532:9150437 282.14823:74965 282.24805:64393 283.08561:24770"
3867	"Allantoin"	1156	3.123275	3.555262	4.565631	157.0356	98245296	1501462144	"null"	"[M-H]-"	"M + 0"	"found in higher mz's MsMs_3891; found in higher mz's MsMs_3886; found in higher mz's MsMs_3877; found in higher mz's MsMs_3876"	"3.555"	"157.0356"	"C4H6N4O3"	""	""	""	330	"True"	"True"	"True"	"100"	"94"	"94"	"100"	"97.5"	1650.183	"156.97124:16905 157.00763:10914 157.01346:18268 157.01532:10312 157.02092:7418 157.02536:188290 157.02932:24652 157.03563:29851710 157.03912:208458 157.04285:29185 157.04589:8465 157.04844:59206 157.05126:7162 157.05522:7109 157.05709:12903 157.06456:15122 157.08557:38606 157.09934:18253 157.12214:220571 158.02797:7096 158.03265:283176 158.03904:1229492 158.04493:13212 158.05989:51104 158.08145:9550 158.12577:15322 158.98982:91989 159.0036:55998 159.02857:9986 159.03594:14275 159.03975:127151 159.06496:34944 159.08351:17393 160.06057:238329 160.07544:14307 161.04104:13573 161.04444:1989709 161.06407:11483"	"53.73071:55383 59.02353:138919 71.02356:757025 72.00786:65912 74.30624:57096 97.00296:9868468 98.00661:62423 113.03353:332518 113.0599:133356 114.02965:8829771 115.03299:70518 140.00848:621468 157.03588:1247959 157.0863:80584 157.12172:699772"
3872	"L-Tyrosine"	1156	3.054469	3.555262	4.34861	180.0657	196333168	3469049088	"null"	"[M-H]-"	"M + 0"	""	"3.555"	"180.0657"	"C9H11NO3"	""	""	""	330	"True"	"True"	"True"	"100"	"100"	"100"	"100"	"100"	18914.84	"179.75214:8515 179.98668:35350 179.98897:10173 180.03135:17735 180.03851:19088 180.0408:15998 180.04252:9579 180.05455:29786 180.05914:53643 180.06143:192515 180.06573:57937436 180.07002:378695 180.07461:59290 180.08148:13237 180.08521:13480 180.08836:9006 180.0918:24482 180.09409:10028 180.09896:10225 180.101:27629 180.1047:8043 180.12189:8625 180.12418:7647 180.14368:35276 180.49394:7724 180.98833:14645 181.06254:97957 181.06891:5819964 181.07323:28963 182.06592:10817 182.0697:233894 182.07203:152532 182.96275:209224 182.98742:203790 183.07332:25330 183.10132:37025 184.06052:54900 184.96033:64969 185.02598:8504 185.03091:33403 185.04386:30665"	"72.00727:4870106 74.0233:724154 93.02447:94983 93.03296:6009229 106.04039:881930 107.04924:383160 119.04855:8469233 120.05286:77471 123.04478:82682 134.05979:375944 135.04369:79458 136.07519:1089908 162.05456:562075 163.03954:25091092 163.06728:181379 164.04152:351597 180.06621:48245520 180.09839:346451 181.0697:663454"
4085	"Methioninesulfoxide"	1270	3.285341	3.907211	4.935983	164.0377	185631088	3395196160	"null"	"[M-H]-"	"M + 0"	"found in higher mz's MsMs_4073; found in higher mz's MsMs_4067; found in higher mz's MsMs_4089"	"3.907"	"164.0377"	"C5H11NO3S"	""	""	""	330	"True"	"True"	"True"	"100"	"99.5"	"100"	"100"	"99.9"	5171.552	"163.76401:7439 163.96925:37236 163.97294:6527 163.97493:6812 163.99709:6454 164.00082:6529 164.00605:14614 164.00804:12952 164.01103:12132 164.01302:13586 164.01452:13765 164.01654:15784 164.01875:11106 164.02099:7580 164.02398:13329 164.02797:29195 164.03195:109065 164.0342:325141 164.03768:52247984 164.04142:361874 164.04541:62235 164.04964:18352 164.05238:8596 164.05587:17143 164.05986:22990 164.06334:14028 164.06683:9224 164.06982:58991 164.07755:5578 164.08153:11464 164.10147:7504 164.10546:23730 164.10746:15888 164.1643:7052 164.31104:7181 165.01814:241301 165.03489:89978 165.03715:220111 165.04091:3001802 165.04369:18566 166.01357:9610 166.01662:14464 166.02144:12757 166.02981:12037 166.03335:2411030 166.04173:200274 166.04401:20498 166.04706:7277 166.05311:658554 166.06101:9704 166.95596:7613 166.99254:11576 167.02248:9908 167.03375:7732 167.03648:79435 167.04491:18098 167.05602:19814 167.06959:6457 167.10646:9634 168.00653:6297 168.029:11020 168.04876:24068 168.06538:19203 169.01285:6268 169.02431:7130"	"60.97389:872412 62.98925:730455 63.96064:5669637 64.96852:120010 70.02856:83045 72.00728:1573468 76.96881:6245314 77.97657:1191543 78.98418:249097 79.95584:6833584 80.96354:734184 95.03694:61652 98.02318:77767 100.03933:11628036 101.04249:72813 121.02826:145998 122.07184:60733 128.91477:61845 147.04353:185571 149.01494:1381676 164.03735:10354728 164.06936:160045 164.08331:93866 165.04045:170795"
